sent_id,original,replacement,context
23-214,calapit,kalapit,Sandaling tiningnan niya ng walang imic ang calapi...
23-214,bundoc,bundok,Sandaling tiningnan niya ng walang imic ang calapi...
23-223,licod,likod,Iya'y hindi ang buhangin; iyan ang matigas na bala...
23-261,licod,likod,"Malaking buaya iyon, na gaya na nga ng ibinalita n..."
23-264,malacas,malakas,Nang wala na sa tubig at ng mailagay na sa ibabaw ...
23-265,malacas,malakas,"Tinicman ng buaya ang huling pagpipiglas, ibinalan..."
23-270,bangcay,bangkay,Lumucso sa malalim na tubigang binatang mangingisd...
23-285,cabilang,kabilang,Aayaw ng pumaroon ang matatandang babae sa cabilan...
23-293,cabilang,kabilang,"Nagsiparoon nga ang mga bangca sa cabilang baclad,..."
23-294,bundoc,bundok,Umaaraw na; humihihip ang amihan: napupucaw at nam...
23-294,culay,kulay,Umaaraw na; humihihip ang amihan: napupucaw at nam...
23-297,cabilang,kabilang,Pinaroonan ang cabilang baclad na may malaking pag...
23-307,bangcay,bangkay,Umaalingawngaw sa alang-alang ang musica; napaimbu...
23-307,licod,likod,Umaalingawngaw sa alang-alang ang musica; napaimbu...
24-12,culay,kulay,Mga bulaklak na kusang sumisibol na ang marami sa ...
24-12,culay,kulay,Mga bulaklak na kusang sumisibol na ang marami sa ...
24-12,pacpac,pakpak,Mga bulaklak na kusang sumisibol na ang marami sa ...
24-14,maglacad,maglakad,Malaonlaon din siyang nagpalacadlacad sa casucalan...
24-17,licod,likod,Nagtago si pari Salvi sa licod ng malaking puno ng...
24-36,culay,kulay,Nacalugay ang kanilang buhok at hubad ang kanilang...
24-38,culay,kulay,Pinanonood ng fraileng Acteon na namumutla at hind...
24-39,licod,likod,"Sa licod ng isang pag-lico sa ilat, sa gitna ng ma..."
24-41,nagbalic,nagbalik,"Humintong hindi cumikilos, nagaalinlangan; humakba..."
24-41,naglacad,naglakad,"Humintong hindi cumikilos, nagaalinlangan; humakba..."
24-44,manoc,manok,Nacatanaw naman siya sa daco pa roon ng isang tula...
24-45,cabilang,kabilang,"At doon sa cabilang ibayo, sa isang calinisang kan..."
24-57,calaking,kalaking,"Ipinakita nila sa cura ang buaya, datapwat tila ma..."
24-65,macapag,makapag,"—Hindi ka na ngayon, Albino, macapag panucala ng m..."
24-85,wica,wika,Ang wica ko'y alferez ng Guardia Civil.......
24-86,Nagcagat,Nagkagat,Nagcagat-labi ang militar at ibinulong ang isang h...
24-87,paglacad,paglakad,Sa ganito'y siyang pagsipot ng isang babaeng namum...
24-91,paglacad,paglakad,Ngunit ipinagpatuloy ng babae ang kanyang paglacad...
24-110,wica,wika,"—¿Nangawala, ang wica ninyo?..."
24-142,sucat,sukat,May usapin tayong labing limang taong taon na ngay...
24-153,licod,likod,"Napilitang itago ni kapitang Basilio ang ""Hari"" sa..."
24-158,licod,likod,Sa pagka't hindi matacpan ni kapitang Basilio ang ...
24-174,Sucat,Sukat,—ang sinabi sa kanya ng pinsan niyang si Victoria—...
24-214,nagbalic,nagbalik,"Datapwat malayo na ang mapalad na binata, at nagba..."
24-233,cang,kang,"May pagmumukhang wari'y sinasabing: ""Huwag cang ta..."
24-276,paglacad,paglakad,Ang ginawa raw ng alferez ay hindi piniguil ang ka...
24-278,paglacad,paglakad,Sinasabi ring ipinagpatuloy daw ng taong iyon ang ...
25-4,bucas,bukas,Maingat na itinali ni Ibarra ang kanyang kabayo sa...
25-13,sucat,sukat,¿May magagawa po ba akong ano mang sucat ninyong p...
25-33,wica,wika,—At ¿sa anong wica sumusulat po kayo?...
25-35,wica,wika,"—Sa wica natin, sa tagalog...."
25-45,nagculang,nagkulang,Mga langaylangayan ang aking mga panauhin; ng taon...
25-51,culang,kulang,—¿Hinuli po ba ang culang palad na iyan?...
25-64,pagcuha,pagkuha,"Ngumiti ng caunti si Ibarra, saka sumagot, casabay..."
25-98,tacot,takot,—Inaacala kong napacalampas naman ang mga tacot na...
25-100,bucas,bukas,Casucatan na upang madurog na lahat ang inyong mga...
25-112,wica,wika,"—¡Hindi dumaraing ang bayan, sa pagka't walang voc..."
25-125,sucat,sukat,¿Anong cahalagahan sa kanya ng pagkilalang loob o ...
25-130,magbalic,magbalik,"—Hindi, bago tayo magbalic sa pinag-uusapan natin ..."
25-182,culang,kulang,Bucod sa rito'y may ipakikiusap pa ako sa kanya tu...
26-2,culay,kulay,"Iniiwan ang caugaliang anyo sa araw-araw, at gumag..."
26-3,culay,kulay,Sarisaring minatamis na mga bungang kahoy rito ang...
26-4,manoc,manok,""" Sumisiap sa ""patio"" ang mga sisiw, cumacacac ang..."
26-11,magca,magka,"—Sa magcabilang tabi ng pinyang ito, na tinatawag ..."
26-12,culay,kulay,Saka sa manga bandeja sa ibabaw ng mga papel na ma...
26-13,culay,kulay,"Linilinis ang mga globong vidrio, na pinagmanamana..."
26-13,culay,kulay,"Linilinis ang mga globong vidrio, na pinagmanamana..."
26-14,culay,kulay,"Ang mga bata'y nangaglalaro, nangagcacatuwaan, hin..."
26-15,culay,kulay,"Lumalabas, na gaya rin ng mga cagalang-galang na m..."
26-27,sucat,sukat,Datapwa't mula ng maisipan ng mga artista sa Tundo...
26-39,nacapag,nakapag,Pinupuri ng mga musico ang kanyang marcha funebre ...
26-42,manoc,manok,"Samantala'y nangadaratingan ang mga carromata, mga..."
26-61,manoc,manok,Sa labas ng bayan ang nangyayari nama'y nabibihis ...
26-61,culay,kulay,Sa labas ng bayan ang nangyayari nama'y nabibihis ...
26-63,paco,pako,"Cumacalairit ang mga ""polea"", umaalingawngaw ang m..."
26-71,bucas,bukas,¡Hindi macapagtatrabajo bucas at gagawin na ang ce...
26-100,calaking,kalaking,"Lalong mainam ang anyo ng cabooan, lalong mahalaga..."
26-112,bucas,bukas,Darating bucas ang ilang bagay na ipamamahagui sa ...
26-113,bucas,bukas,Datapwat pabayaan ninyo ang mga bulaklak na iyan s...
26-114,bucas,bukas,—Magdadala rito ang aking ama bucas ng mga bulakla...
27-30,culang,kulang,Sa culang pang labing limang araw ay nanag-uli sa ...
27-34,bucas,bukas,"Natatanaw buhat sa daan, sa mga bintanang bucas, a..."
27-36,paglacad,paglakad,"Nangagcacahalohalo sa paglacad, na nangagcacasicuh..."
27-36,manoc,manok,"Nangagcacahalohalo sa paglacad, na nangagcacasicuh..."
27-78,bucas,bukas,Natangi sa lahat ng mga bahay ang isang walang cai...
27-81,wica,wika,"¡ang Musa ng Guardia Civil, ang wica nga ng matand..."
27-82,catacot,katakot,—ang biglang sinabi ng catacot tacot na si Sinang....
27-82,tacot,takot,—ang biglang sinabi ng catacot tacot na si Sinang....
27-89,Sucat,Sukat,"Sucat bang ipahuli ang caawaawang piloto, na sumug..."
27-101,wica,wika,—May apat na taon na ngayong kinapitan siya ng sak...
27-102,tacot,takot,"Siya'y doon tumatahan sa cabukiran, sa malapit na ..."
27-114,culang,kulang,At hindi nalalaman ang kanyang ginagawa'y dalidali...
27-117,sucat,sukat,—¡Wala akong ibang sucat maibigay!...
27-124,balicat,balikat,Tiningnan ni Maria Clara ng buong pananaghili ang ...
27-127,culang,kulang,Samantala'y lamapit ang isang babae sa culang pala...
27-129,lucso,lukso,Ng maramdaman ng sanlazarohin ang paghipo sa kanya...
28-27,magculang,magkulang,"""Hindi ko po kinacailangang sabihin sa inyong sama..."
28-28,bucas,bukas,"Ininong totoo, at na sa catuwiran nga ang gayong p..."
28-33,Bucas,Bukas,Hayag nga at talastas ng lahat na sa araw na ito'y...
28-37,bucas,bukas,May isang malaking pagpapataasang banal ang dalawa...
28-41,casunod,kasunod,"Pagka tapos ng ""Surge Domine"", pinasimulan ang pro..."
28-42,casiya,kasiya,Sumusunod sa kanilang licuran ang mga cirial na pi...
28-55,malacas,malakas,"""Walang naging caculangang ano man sa loob ng magh..."
28-55,sucat,sukat,"""Walang naging caculangang ano man sa loob ng magh..."
28-57,Cana,Kana,Hindi ko na kinacailangang sabihin po sa inyong lu...
28-62,bucas,bukas,"""Dumating ng hapong ito ang Alcalde ng lalawigan, ..."
28-65,bucas,bukas,"""Nagcaroon ng gabing ito ng mainam na procesion, d..."
28-66,bucas,bukas,Samantalang binabawi ko ang lakas sa mga bisig ni ...
28-74,cang,kang,"""Minamahal kong Choy: Magmadali cang pumarini, kun..."
28-74,sucat,sukat,"""Minamahal kong Choy: Magmadali cang pumarini, kun..."
28-81,tiguil,tigil,"""Malaking totoong cayamanan ang nakikita ng insic ..."
28-86,catotoo,katotoo,"""Ang iyong catotoo...."
28-101,bucas,bukas,"Pagka hindi ka naparini bucas, hindi ako paparoon ..."
28-102,Calakip,Kalakip,Calakip....
29-9,macapag,makapag,Lalong marami ang bilang ng mga candilang kanilang...
29-14,culay,kulay,Ang matandang filosofo lamang ang nananatili sa da...
29-16,sucat,sukat,"—ang sabi sa kanya ng teniente mayor,—¿aayaw po ba..."
29-21,macapal,makapal,"iwaldas ang salapi, sa gayong macapal na totoo ang..."
29-35,culay,kulay,Lumilibang sa paningin ang liwanag at culay na sar...
29-50,wica,wika,Dahil sa bagay na ito'y ibig sana niyang magbitiw ...
29-53,magbalic,magbalik,—¡Ginagawa ang lahat ng ito't ng camtan natin ang ...
29-76,lacad,lakad,Dahandahan nga at matimtiman ang lacad ng procesio...
29-79,capa,kapa,Tumiguil ang carro sa tapat ng isang bahay na sa m...
30-1,cabilang,kabilang,Mula sa isa hanggang sa cabilang dulo'y puno ang c...
30-4,culay,kulay,Ang ilang matandang lalaking naisasawsaw ang mga d...
30-6,culay,kulay,"""Marahil nga'y bendita ang tubig na iyan at taglay..."
30-42,calapit,kalapit,—ang isinagot ng kanyang calapit at siya'y sinico;...
30-49,licod,likod,Sa pagmamasid ng pagtanggap niya ng aso ng inciens...
30-49,licod,likod,Sa pagmamasid ng pagtanggap niya ng aso ng inciens...
30-49,macapal,makapal,Sa pagmamasid ng pagtanggap niya ng aso ng inciens...
30-52,nacapag,nakapag,Nangagsiupo sa kanilang mga sillon ang tatlong sac...
30-60,calakip,kalakip,"Ipinahiwatig niya sa isang tanging kirap, na hindi..."
31-8,macailan,makailan,Ayawan kong nahiwatigan ni Pari Damaso ang gayong ...
31-9,culay,kulay,Sumasa tapat ng kanyang ulo ang Espiritu Santo na ...
31-15,licod,likod,at o ng paghinto dakilang iniunat niya ang kanyang...
31-15,malacas,malakas,at o ng paghinto dakilang iniunat niya ang kanyang...
31-16,wica,wika,"""¡Nagniningning at cumikislap ang altar, malapad a..."
31-17,malacas,malakas,"Kayong mga malalaking macasalanan, mga bihag ng mg..."
31-17,bucas,bukas,"Kayong mga malalaking macasalanan, mga bihag ng mg..."
31-19,wica,wika,"Ang caguilaguilalas na lalang na ito ng Dios, iton..."
31-47,calabaw,kalabaw,"Untiunting naghihicab ang mga nakikinig, sampo ni ..."
31-62,causap,kausap,"—ang isinagot ng causap, na itinuturo ang nagseser..."
31-98,cang,kang,—¡Huwag cang maingay!...
31-104,cang,kang,"—Hindi pa, ngunit huwag cang matulog ¡""condenada""!..."
31-108,nacapag,nakapag,"Sa mga kastila'y iba ng bagay, may naringgan siyan..."
31-111,wica,wika,"Nagpasimula ng isang: ""Mana capatir con cristiano""..."
31-115,lacad,lakad,Ibinulusoc niya ang mga sumpa laban sa lacad ng mg...
31-132,Cun,Kun,"""—anya—""Cun nasasalubun nan isan indio sa calle an..."
31-132,cun,kun,"""—anya—""Cun nasasalubun nan isan indio sa calle an..."
31-133,cun,kun,o cun totoo malayo na an cura....
31-136,calabaw,kalabaw,—At ¿pagka ang sinasacyan ng isa'y isang calabaw?...
31-137,calapit,kalapit,—ang tanong ng isang masuring magsasaca sa kanyang...
31-144,calabaw,kalabaw,"¡layas, salvaje, hayop, demonio, calabaw, aso, con..."
31-146,calaking,kalaking,"Huminto ang nagsesermon, itinaas ang mga kilay, sa..."
31-148,macailan,makailan,Namunga ang gayong gawa: binitiwan ng matandang ba...
31-152,cun,kun,"—naisigaw ng nagagalit na sacerdote, na naghalukip..."
31-160,bundoc,bundok,Hindi na nacalingit kay Ibarra ang mga sinasabi at...
32-2,calas,kalas,Sa ibabaw ng walong metro ang taas ay natatayo roo...
32-3,culay,kulay,Ang malalaking mga lubid na nacabitin sa lahat ng ...
32-28,wica,wika,Pagkatapos na matingnan at mapagsiyasat ng buong c...
32-28,tacot,takot,Pagkatapos na matingnan at mapagsiyasat ng buong c...
32-29,sucat,sukat,"Tunay nga, mga ginoo; sucat na ang sabihin sa inyo..."
32-29,cabilang,kabilang,"Tunay nga, mga ginoo; sucat na ang sabihin sa inyo..."
32-29,cabilang,kabilang,"Tunay nga, mga ginoo; sucat na ang sabihin sa inyo..."
32-30,sucat,sukat,"Itong di mandin mapaniniwalaang cahidwaan ng isip,..."
32-32,wica,wika,"Alinsunod sa pangcaraniwang profesor ng mga wica, ..."
32-33,wica,wika,At kung hindi maguing casucatan ito upang mapapagt...
32-36,camali,kamali,"Marahil mag-camali ang matandang Tasio, bagay na h..."
32-41,culay,kulay,Nangagluluponlupon sa lilim ng mga kahoy o sa ilal...
32-44,Sucat,Sukat,Sucat na ang pag-isipin ang mga bagay na iyon upan...
32-45,culay,kulay,Hindi nalao't narinig ang malayong mga tinig ng mu...
32-50,Causap,Kausap,"Causap ni Ibarra ang Alcalde, na kanyang totoong n..."
32-75,wica,wika,¡Purihin ninyo ang Dios na nagdala sa inyo rito ni...
32-92,pagpacpac,pagpakpak,"Gumawa rin siya ng gaya ng ginawa ng Alcalde, ngun..."
32-97,culang,kulang,Si Ibarra na lamang ang culang at ipag-uutos na sa...
32-101,Lacad,Lakad,—¡Lacad na kayo!...
32-115,bangcay,bangkay,Tangan pa sa kamay ng binata ang cuchara at kanyan...
32-119,tacot,takot,—ang sabi ng ilang mga empleadong punong-puno ng t...
32-123,bangcay,bangkay,—¡Hali kayo at inyong alisin sa pagka dangan ang b...
32-130,bangcay,bangkay,Kanilang nakilalang ang lalaking naninilaw na naca...
32-133,bangcay,bangkay,"Kanilang siniyasat ang kalagayan ng bangcay, tinut..."
32-135,cabilang,kabilang,Kanilang nakita sa kanyang liig ang mga bacas na c...
32-146,malacas,malakas,—ang biglang sinabing malacas ng ilang mga kastila...
32-178,nagculang,nagkulang,Hindi nagculang ng nagdagdag na kanyang nakitang l...
32-182,cang,kang,"aayaw cang magsisimba,—anang isang ina sa kanyang ..."
32-182,cang,kang,"aayaw cang magsisimba,—anang isang ina sa kanyang ..."
32-183,bangcay,bangkay,At siya nga naman: hatid sa tribunal na nacabalot ...
33-4,sucat,sukat,—Iniligtas ninyo ang aking buhay—ang sinabi nito s...
33-12,tacot,takot,"—ang madaling isinagot ni Elias, na nagpapahalata ..."
33-31,bucas,bukas,"""Hindi ito cacanin ng mga isdang katulad ng kanyan..."
33-31,nagcusang,nagkusang,"""Hindi ito cacanin ng mga isdang katulad ng kanyan..."
33-61,lacad,lakad,"Isang casalangsangan, isang pagkakasira-sira ng la..."
33-64,tacot,takot,—ang muling itinanong ni Ibarra na ma'y halong tac...
34-2,cabilang,kabilang,Na sa isang duyo ng mesa ang Alcalde; sa cabilang ...
34-3,canan,kanan,"Nacaupo sa dakong canan ng binata si Maria Clara, ..."
34-31,lacad,lakad,Nanag-uli ang salitaan sa lacad na caugalian....
34-49,calapit,kalapit,"—Iyan nga ang sinasabi ko, datapwat ang magandang ..."
34-53,malacas,malakas,"—Pari Cura,—ang malacas na idinugtong,—namamasid k..."
34-54,Catacot,Katakot,—¡Catacot-tacot na magmamasid ang ginoong Alcalde!...
34-54,tacot,takot,—¡Catacot-tacot na magmamasid ang ginoong Alcalde!...
34-74,bucas,bukas,"Namumupol ako kahapon ng mga bulaklak, ngayo'y aki..."
34-75,Bucas,Bukas,—Bucas ay ihahaguis ng camahalan po ninyo ang tung...
34-84,calapit,kalapit,"Ang isa'y nagcacamali ng paggamit ng mga ""cubierto..."
34-84,wica,wika,"Ang isa'y nagcacamali ng paggamit ng mga ""cubierto..."
34-90,calabaw,kalabaw,"Hindi ba sinasabi ni hermano Mateo, taong hindi na..."
34-99,incong,inkong,"—¡Huwag po kayong mabahala, incong!..."
34-109,bucas,bukas,"—Paparoonin mo siya sa bahay bucas, Petra,—anang m..."
34-112,incong,inkong,"¿Ano po ba, incong ang pagkaalam ninyo?..."
34-129,Sucat,Sukat,Sucat ng magpapihitpihit ng macaatlo o macaapat an...
34-138,manoc,manok,"Nalalaman na ninyo ang casabihan; ""¡sa cura ang ma..."
34-148,capit,kapit,¡Diyata't nagcacapagod at nagcacapangpapawis pa ng...
34-149,sucat,sukat,"Walang ginagawa ang cura kung di maupo, at pagdaca..."
34-161,paglacad,paglakad,"At dumarating nga naman si pari Damaso, taglay ang..."
34-164,canan,kanan,"Naowi sa pangangatal ang ngiti ni pari Damaso, ng ..."
34-171,Sucat,Sukat,¡Sucat ng magcaroon ng dalawang daling noo upang m...
34-174,malacas,malakas,—ang sinabing malacas na palibac ni pari Damaso....
34-182,wica,wika,—¿Ang wica po ba ninyo'y walong cuarta lamang ang ...
34-184,lacad,lakad,—Ibig ng Alcaldeng baguhin ang lacad ng salitaan....
34-196,sucat,sukat,at masasabi nating walang sucat na.......
34-231,bucas,bukas,"Laguing bucas ang kanyang bahay, laguing handa ang..."
34-233,pinacain,pinakain,Binucsan niya sa taong sumasadalita ang mga pintua...
35-6,malacas,malakas,"—¡Magpahingalay nawa siya sa capayapaan, ngunit wa..."
35-6,sucat,sukat,"—¡Magpahingalay nawa siya sa capayapaan, ngunit wa..."
35-23,Macati,Makati,"Hindi ko minamagaling ang ginawa ng franciscano,—a..."
35-24,wica,wika,Ngayo'y ibig niyang siya'y ipalagay na bagong gali...
35-26,malacas,malakas,—Gayon ma'y dapat tayong tumutol sa cagagawang iya...
35-61,tacot,takot,"—ang biglang sinabi ni don Filipo ng buong saclap,..."
35-62,tacot,takot,Lalo pang pinapansin ang isang capahamacang hindi ...
35-79,malacas,malakas,"—ang sabing malacas ng unang babaeng nagsalita, na..."
35-82,malacas,malakas,"—ang sabing malacas ng pangatlong babae, na ito'y ..."
35-99,cabilang,kabilang,—¿Ano ang capacanan ng mga dangal at ng capurihan ...
35-114,Bucas,Bukas,"Bucas macalawa'y mamamatay rin kami, namamatay ang..."
35-116,cabilang,kabilang,"—Ako naman,—ang sabi ng buong cataimtiman ni capit..."
35-155,sucat,sukat,"Naaalaala na ninyo ang salitang ""ispichoso"", na su..."
35-156,cang,kang,""" Ayon sa sabi ng telegrafista at ng directorcillo..."
35-164,manoc,manok,"—Tatawaguin kong ""palabistero"" ang unang civil na ..."
36-6,cang,kang,—¡Huwag cang umiyac anak ko!...
36-10,cang,kang,—¡Huwag cang umiyac!...
36-12,Sucat,Sukat,¡Sucat na ang sabihin cura sa upang ipatawad na la...
36-13,nagbalic,nagbalik,¡Sa cawacasa'y nagbalic si kapitang Tiago!...
36-24,cabilang,kabilang,Iniuutos ni pari Damaso na sirain ang mga salitaan...
36-32,cang,kang,"—Huwag cang umiyac, anak ko,—ang idinugtong at lin..."
36-44,cang,kang,—¡Ngunit wala cang ginagawa kung di pasama-in ang ...
36-48,cang,kang,"Nguni, Maria, huwag cang umiyac; darating ang Kapi..."
36-48,cang,kang,"Nguni, Maria, huwag cang umiyac; darating ang Kapi..."
36-60,malacas,malakas,Sa pagkalungayngay ng ulo sa dibdib at sa pagkatii...
36-64,tacot,takot,Hindi lamang nacapagbibigay tacot sa kanya ang exc...
36-68,paglacad,paglakad,Datapwat di caguinsaguinsa'y cumipot ang dinaraana...
37-20,wica,wika,"—Gayon din ang wica ko,—ang dugtong ng isang agust..."
37-38,pagtiguil,pagtigil,"—ang idinugtong ng Kapitan General, pagkatapos ng ..."
37-55,malacas,malakas,Sinalita ng Kapitan General sa isang paraang macah...
37-57,malacas,malakas,—ang malacas na sabi ng isang ayudante....
37-61,lacad,lakad,"Ginoong Alcalde, sasamahan po ninyo ako sa buong a..."
37-92,lacad,lakad,—Tungkol sa samaan ng loob na nangyari sa inyo at ...
37-136,balicat,balikat,"—¡Nagagalac ako—anya, na tinatapictapic ang balica..."
37-139,pagpasoc,pagpasok,"—Ginoong Alcalde,—ang sinabi sa kanya pagpasoc niy..."
37-150,culang,kulang,Sacali't culang ng mga padrino'y aking icagagalac ...
37-155,paglacad,paglakad,Pinaroonan si Maria Clara ni Ibarrang halos tumata...
37-162,malacas,malakas,"—ang tanong ng binata, na ang puso'y tumitiboc ng ..."
38-2,lacad,lakad,"Ang Kapitan General na nagpapasyal ng lacad, na ca..."
38-4,culay,kulay,"Ang pasimula ng procesio'y mga ""ciriales"" na pilac..."
38-14,Culang,Kulang,—¡Culang palad!...
38-25,cang,kang,"Datapuwa, ¡cagalanggalang at mapacumbabang nagtayo..."
38-25,cang,kang,"Datapuwa, ¡cagalanggalang at mapacumbabang nagtayo..."
38-26,pacpac,pakpak,Sumusunod sa musica ang isang estandarte na kinala...
38-27,malacas,malakas,"Dala ang estandarteng iyon ng mga ""hermano tercero..."
38-27,caawa,kaawa,"Dala ang estandarteng iyon ng mga ""hermano tercero..."
38-29,culay,kulay,Naliliguid siya ng mga ilaw at ng incienso; nangan...
38-50,pacpac,pakpak,At carapatdapat ngang pangguilalasan: siya'y isang...
39-9,cupas,kupas,"Ang ginoong babae, ayon sa kanyang pinagcaratihang..."
39-12,cun,kun,"Hindi nagsimba ng umagang iyon ang ginoong babae, ..."
39-12,calakip,kalakip,"Hindi nagsimba ng umagang iyon ang ginoong babae, ..."
39-15,naca,naka,"Talos niyang siya'y maganda, na siya'y may pagka a..."
39-19,paglacad,paglakad,Kailan ma'y hindi naging carapatdapat macaakit sa ...
39-23,sucat,sukat,"Nangagsisiyucod na lahat sa kanyang paliguid, tula..."
39-37,tacot,takot,"Ipinanhic doon si Sisa, na humarap na di nagulomih..."
39-72,wica,wika,"ang taong may pinag-aralan ang wica ko, nagpapasim..."
39-72,lacad,lakad,"ang taong may pinag-aralan ang wica ko, nagpapasim..."
39-79,wica,wika,Sacali't masama ang pagkatanto ng cabo sa mga sari...
39-94,malacas,malakas,"—Namasdan ni Consolasion ang galaw, nagdilidili at..."
39-106,wica,wika,"Ng sila'y icasal, nacacawatas pa ang kanyang asawa..."
39-123,macailan,makailan,"Lumibot na macailan sa silid, na pinipilipit ng na..."
39-130,catacot,katakot,Naririnig sa dakong malayo ang musica ng procesion...
39-130,tacot,takot,Naririnig sa dakong malayo ang musica ng procesion...
39-143,malacas,malakas,Dalawang malacas na hagupit ng latigo sa licod ang...
39-143,licod,likod,Dalawang malacas na hagupit ng latigo sa licod ang...
39-143,culang,kulang,Dalawang malacas na hagupit ng latigo sa licod ang...
39-151,nacapag,nakapag,Isang ngiti ng ligaya ang siyang nagpacubot sa mga...
39-155,balicat,balikat,Inilagay ng alferez ng lubos na pagpapacamairuguin...
39-157,malacas,malakas,Nagpatuloy ang catahimican: humihingasing ng malac...
39-165,Bucas,Bukas,Bucas ay ihahatid siya sa bahay ni ginoong Ibarra....
39-172,manoc,manok,"—ang sigaw ng tinig na cahawig ng culog, casabay n..."
39-183,malacas,malakas,Pinagdimlan ang lalaki at umaatungal na hinandulon...
39-189,cuta,kuta,Nariringig sa dakong loob ang calampagan ng mga si...
39-191,cang,kang,—¡Huwag cang pumasoc!...
39-192,cang,kang,¡huwag cang pumasoc!...
39-196,cuta,kuta,"—ang patuloy na paglibac ng babae, na tila mandin ..."
39-200,cang,kang,¡aayaw cang ako'y magsimba!...
40-5,calabaw,kalabaw,"Sinusuhan din naman ang maraming mga ""rueda"", mga ..."
40-12,caloob,kaloob,"Ang bayan, ang mga taong walang catungculan at wal..."
40-30,sucat,sukat,hindi ko kinacailangan ang sino man sa pananaguini...
40-30,calakip,kalakip,hindi ko kinacailangan ang sino man sa pananaguini...
40-38,cabilang,kabilang,—¡Bigyang pala nawa sila ng Dios naman sa cabilang...
40-43,Cain,Kain,Ngunit hindi nangagsasaysay ng pagliyag ang mga ma...
40-81,malacas,malakas,—ang sa cawacasa'y biglang sinabi ng malacas;—¿cas...
40-85,cang,kang,—¡Huwag cang umalis!...
40-132,bucas,bukas,—ang isinisigaw ni don Filipo;—¡hihingi tayo bucas...
41-24,magcapatid,magkapatid,—ang isinagot ni Elias ng buong cahinhinan;—ang na...
41-26,magcapatid,magkapatid,—¿At ang magcapatid na iyan ang kanilang ama'y pin...
41-34,paglacad,paglakad,Bumati sa kanya ng buong capacumbabaan ang isang m...
41-57,paglacad,paglakad,—ang sinabi ni Ibarra at ipinagpatuloy ang kanyang...
41-58,calakip,kalakip,Sinundan siya ni Lucas ng titig na may calakip na ...
42-3,paglacad,paglakad,Naghahari sa bahay ni kapitang Tiago ang malaking ...
42-3,malacas,malakas,Naghahari sa bahay ni kapitang Tiago ang malaking ...
42-14,magculang,magkulang,Nalalaman mo ng kasama mag-asawang doctor ang isan...
42-15,cabilang,kabilang,"Na sa cabilang dulo ng ""comedor"" ang magpinsang si..."
42-86,cabilang,kabilang,Datapuwat ng siya'y mapilitang maglagalag sa bayan...
42-112,cang,kang,"—Kung isa lamang ""de"" ang aking ilalagay, mawiwica..."
