dataset,chapter_number,sentence_number,source_form,target_form,context_snippet
elfili_paragraphs,1,,nguni’t,ngunit,indi ayos nguni’t hindi map
elfili_paragraphs,1,,nguni’t,ngunit,ng bapor; nguni’t ang isang
elfili_paragraphs,1,,Nguni’t,Ngunit,"—Nguni’t kapitan, "
elfili_paragraphs,1,,Nguni’t,Ngunit,yang ali. Nguni’t ang asawa
elfili_paragraphs,1,,nguni’t,ngunit,"apantaha, nguni’t tignan ni"
elfili_paragraphs,1,,nguni’t,ngunit,"tinginan, nguni’t, gaya ng "
elfili_paragraphs,1,,Nguni’t,Ngunit,"—Nguni’t, ginoong "
elfili_paragraphs,1,,Nguni’t,Ngunit,—Nguni’t ang mga g
elfili_paragraphs,1,,Nguni’t,Ngunit,—Nguni’t.... naghi
elfili_paragraphs,1,,nguni’t,ngunit,"big niya, nguni’t ni si Ben"
elfili_paragraphs,1,,nguni’t,ngunit,"crucero”, nguni’t ang tanon"
elfili_paragraphs,1,,nguni’t,ngunit,hin sana; nguni’t ang gayon
elfili_paragraphs,1,,Nguni’t,Ngunit,—Nguni’t D. Custod
elfili_paragraphs,2,,Nguni’t,Ngunit,Nguni’t ang dalaw
elfili_paragraphs,2,,nguni’t,ngunit,"hay doon, nguni’t ang tunay"
elfili_paragraphs,2,,nguni’t,ngunit,"ng apian, nguni’t hindi nan"
elfili_paragraphs,2,,Nguni’t,Ngunit,—Nguni’t balikan n
elfili_paragraphs,2,,Nguni’t,Ngunit, Basilio.—Nguni’t kahi’t ni
elfili_paragraphs,2,,Nguni’t,Ngunit,—¿Nguni’t ang mga m
elfili_paragraphs,2,,nguni’t,ngunit,"-aaralan, nguni’t wala kayo"
elfili_paragraphs,2,,Nguni’t,Ngunit,gyari pa! Nguni’t ang bagay
elfili_paragraphs,2,,nguni’t,ngunit,"ababayan, nguni’t ang kanil"
elfili_paragraphs,2,,nguni’t,ngunit,"g tangka, nguni’t sa dahila"
elfili_paragraphs,2,,nguni’t,ngunit,"apaiinom, nguni’t lumulunod"
elfili_paragraphs,2,,nguni’t,ngunit,—ang sabi—nguni’t nangangam
elfili_paragraphs,2,,Nguni’t,Ngunit,—Nguni’t ano ka ba
elfili_paragraphs,2,,nguni’t,ngunit,"aywan ko, nguni’t ang taong"
elfili_paragraphs,2,,nguni’t,ngunit,"ang puti, nguni’t ang kaniy"
elfili_paragraphs,2,,nguni’t,ngunit,agpapari; nguni’t dahil sa 
elfili_paragraphs,2,,Nguni’t,Ngunit,Nguni’t sa pagtut
elfili_paragraphs,3,,Nguni’t,Ngunit,ng manok? Nguni’t ako’y nag
elfili_paragraphs,3,,Nguni’t,Ngunit,—Nguni’t ¿saan bag
elfili_paragraphs,3,,Nguni’t,Ngunit,Nguni’t ni si Sim
elfili_paragraphs,3,,nguni’t,ngunit,"g yungib, nguni’t untiuntin"
elfili_paragraphs,3,,Nguni’t,Ngunit,—Nguni’t ano ang p
elfili_paragraphs,3,,Nguni’t,Ngunit,"—Nguni’t kayo, na "
elfili_paragraphs,3,,nguni’t,ngunit,tanungan; nguni’t ng mabaty
elfili_paragraphs,3,,Nguni’t,Ngunit,—Nguni’t ¿ano ang 
elfili_paragraphs,4,,nguni’t,ngunit,umuhunan; nguni’t ng malaun
elfili_paragraphs,4,,Nguni’t,Ngunit,Nguni’t ang panga
elfili_paragraphs,4,,Nguni’t,Ngunit, Basilio. Nguni’t ang taong
elfili_paragraphs,4,,nguni’t,ngunit,"g prayle, nguni’t tinototoo"
elfili_paragraphs,4,,nguni’t,ngunit,"g buwaya, nguni’t tinangka "
elfili_paragraphs,4,,Nguni’t,Ngunit,"inihingi. Nguni’t si Tales,"
elfili_paragraphs,4,,nguni’t,ngunit,"tuntunan, nguni’t alam din "
elfili_paragraphs,4,,nguni’t,ngunit,", titulo, nguni’t walang ma"
elfili_paragraphs,4,,Nguni’t,Ngunit,ng lakas. Nguni’t inayos ko
elfili_paragraphs,4,,nguni’t,ngunit," ko siya, nguni’t kung ako’"
elfili_paragraphs,4,,Nguni’t,Ngunit,ang anak. Nguni’t ng ikatlo
elfili_paragraphs,4,,nguni’t,ngunit,"gkasakit, nguni’t hindi tum"
elfili_paragraphs,4,,nguni’t,ngunit,"ng baril, nguni’t nagpatulo"
elfili_paragraphs,4,,nguni’t,ngunit,"mangusap, nguni’t hindi nan"
elfili_paragraphs,4,,nguni’t,ngunit,"g salapi, nguni’t ang dalaw"
elfili_paragraphs,4,,nguni’t,ngunit,"ng agnos, nguni’t napailing"
elfili_paragraphs,4,,nguni’t,ngunit,"oong una, nguni’t ang gayon"
elfili_paragraphs,4,,nguni’t,ngunit,"na utang, nguni’t natalasan"
elfili_paragraphs,4,,nguni’t,ngunit,"sa Tiani, nguni’t walang pu"
elfili_paragraphs,4,,nguni’t,ngunit," matulog, nguni’t malaong h"
elfili_paragraphs,4,,nguni’t,ngunit,ng inisip nguni’t tinitimpi
elfili_paragraphs,4,,nguni’t,ngunit,"ng tubig, nguni’t hindi niy"
elfili_paragraphs,5,,nguni’t,ngunit,y si Noel nguni’t may matal
elfili_paragraphs,5,,Nguni’t,Ngunit,Nguni’t sa dahila
elfili_paragraphs,5,,nguni’t,ngunit," rosario, nguni’t hindi lam"
elfili_paragraphs,5,,nguni’t,ngunit,amahalaan—nguni’t gayon man
elfili_paragraphs,5,,nguni’t,ngunit,"sa relos, nguni’t mayroon a"
elfili_paragraphs,5,,nguni’t,ngunit,"di ganid, nguni’t sa dahila"
elfili_paragraphs,6,,nguni’t,ngunit,"lang upa, nguni’t sa isang "
elfili_paragraphs,6,,Nguni’t,Ngunit,atatarok! Nguni’t tumiwasay
elfili_paragraphs,6,,nguni’t,ngunit,"a kaniya, nguni’t parang ma"
elfili_paragraphs,6,,nguni’t,ngunit,"ang ayos, nguni’t hanggang "
elfili_paragraphs,6,,Nguni’t,Ngunit,ang hula. Nguni’t sino ang 
elfili_paragraphs,6,,nguni’t,ngunit,"ng bayad, nguni’t hindi ang"
elfili_paragraphs,7,,nguni’t,ngunit,"y nawala, nguni’t ang yabag"
elfili_paragraphs,7,,nguni’t,ngunit,ihingalo: nguni’t ang matat
elfili_paragraphs,7,,Nguni’t,Ngunit,ing yaon. Nguni’t ¿sino ang
elfili_paragraphs,7,,nguni’t,ngunit,"t balbas, nguni’t ang panin"
elfili_paragraphs,7,,nguni’t,ngunit,"i Simoun, nguni’t namasdan "
elfili_paragraphs,7,,nguni’t,ngunit,"mundo.... nguni’t, gayon ma"
elfili_paragraphs,7,,Nguni’t,Ngunit,kin...... Nguni’t nang akin
elfili_paragraphs,7,,nguni’t,ngunit,"g mabuti, nguni’t ang katot"
elfili_paragraphs,7,,nguni’t,ngunit,kakamali! nguni’t sanhi sa 
elfili_paragraphs,7,,nguni’t,ngunit,mapayapa; nguni’t lalo pang
elfili_paragraphs,7,,Nguni’t,Ngunit,alahatan. Nguni’t kahi’t an
elfili_paragraphs,7,,nguni’t,ngunit,"—Oo, nguni’t parang is"
elfili_paragraphs,7,,nguni’t,ngunit,pangalan; nguni’t kahi’t ma
elfili_paragraphs,7,,nguni’t,ngunit,"ng bagay, nguni’t kailan ma"
elfili_paragraphs,7,,nguni’t,ngunit,ingan.... nguni’t magtiisti
elfili_paragraphs,7,,nguni’t,ngunit,"namit mo, nguni’t siyang la"
elfili_paragraphs,8,,Nguni’t,Ngunit,gay noon? Nguni’t sa ilalim
elfili_paragraphs,8,,nguni’t,ngunit,"hinagkan, nguni’t kinuskos "
elfili_paragraphs,8,,Nguni’t,Ngunit,Nguni’t ng luming
elfili_paragraphs,8,,nguni’t,ngunit,"mag-anak, nguni’t karaniwan"
elfili_paragraphs,9,,nguni’t,ngunit,"ng Tales: nguni’t siya, si "
elfili_paragraphs,9,,nguni’t,ngunit,"kabaitan, nguni’t hindi nat"
elfili_paragraphs,10,,nguni’t,ngunit,"ng bunga, nguni’t hindi umi"
elfili_paragraphs,10,,nguni’t,ngunit,"mang ani, nguni’t gayon man"
elfili_paragraphs,10,,nguni’t,ngunit,ang aklat nguni’t walang na
elfili_paragraphs,10,,Nguni’t,Ngunit,g halaga. Nguni’t tatlong l
elfili_paragraphs,10,,nguni’t,ngunit,"yang ina, nguni’t ito man a"
elfili_paragraphs,10,,nguni’t,ngunit, malalaki nguni’t lubhang m
elfili_paragraphs,10,,Nguni’t,Ngunit,Nguni’t ng nasa l
elfili_paragraphs,10,,nguni’t,ngunit, ko kayo: nguni’t ang panga
elfili_paragraphs,10,,nguni’t,ngunit," sa akin, nguni’t iniwan ko"
elfili_paragraphs,10,,nguni’t,ngunit,isa...... nguni’t lalong ma
elfili_paragraphs,10,,nguni’t,ngunit,"ng Tales, nguni’t sa dahila"
elfili_paragraphs,10,,nguni’t,ngunit," sa inyo, nguni’t gayon man"
elfili_paragraphs,11,,Nguni’t,Ngunit,Busobuso.—Nguni’t sa dahila
elfili_paragraphs,11,,Capitang,Kapitang,ba namang Capitang General a
elfili_paragraphs,11,,Capitang,Kapitang,sillo ang Capitang General s
elfili_paragraphs,11,,nguni’t,ngunit,". Sibyla, nguni’t hindi siy"
elfili_paragraphs,11,,nguni’t,ngunit," at ibp., nguni’t hindi pa "
elfili_paragraphs,11,,nguni’t,ngunit,"ng itaya, nguni’t kami, mga"
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t ginoong S
elfili_paragraphs,11,,Capitang,Kapitang, utos ang Capitang General n
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t may isang
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t wala akon
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t sa dahila
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t ¡kung ano
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t mga ginoo
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t maminsanm
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t aking Gen
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t unawain n
elfili_paragraphs,11,,Nguni’t,Ngunit,—Nguni’t ang mga i
elfili_paragraphs,11,,nguni’t,ngunit,"y na ito, nguni’t napakatan"
elfili_paragraphs,11,,nguni’t,ngunit,"akala ko, nguni’t bukas ay "
elfili_paragraphs,11,,nguni’t,ngunit," kapatid, nguni’t ayaw akon"
elfili_paragraphs,12,,nguni’t,ngunit,na damit; nguni’t gayon man
elfili_paragraphs,12,,Nguni’t,Ngunit,ngapatay. Nguni’t gayon man
elfili_paragraphs,12,,nguni’t,ngunit, masungit nguni’t maganda. 
elfili_paragraphs,12,,nguni’t,ngunit,"yawan ko, nguni’t ibinigay "
elfili_paragraphs,12,,Nguni’t,Ngunit,o ngayon? Nguni’t ibigay mo
elfili_paragraphs,12,,Nguni’t,Ngunit,Nguni’t namatyag 
elfili_paragraphs,12,,Nguni’t,Ngunit,sa klase. Nguni’t sa di mab
elfili_paragraphs,12,,nguni’t,ngunit,", kasama, nguni’t hindi ako"
elfili_paragraphs,12,,nguni’t,ngunit," O Thoma, nguni’t naramdama"
elfili_paragraphs,12,,Nguni’t,Ngunit,"—¡Nguni’t, hindi na"
elfili_paragraphs,12,,Nguni’t,Ngunit,—Nguni’t hindi nam
elfili_paragraphs,12,,nguni’t,ngunit,s na sana nguni’t naaalaala
elfili_paragraphs,13,,nguni’t,ngunit,an mo ako nguni’t huwag sal
elfili_paragraphs,13,,nguni’t,ngunit,ungkulin; nguni’t sa dahila
elfili_paragraphs,13,,Nguni’t,Ngunit,Nguni’t balikan n
elfili_paragraphs,13,,nguni’t,ngunit,tinuturo; nguni’t ang mga k
elfili_paragraphs,13,,nguni’t,ngunit,to. Tomas—nguni’t ikinadada
elfili_paragraphs,13,,nguni’t,ngunit,g tainga; nguni’t nakapigil
elfili_paragraphs,13,,nguni’t,ngunit,"g isagot, nguni’t hindi mak"
elfili_paragraphs,13,,nguni’t,ngunit,"a kaniya, nguni’t nang maki"
elfili_paragraphs,13,,nguni’t,ngunit,"tumindig, nguni’t siniko mu"
elfili_paragraphs,13,,nguni’t,ngunit,"anong ko, nguni’t yayamang "
elfili_paragraphs,13,,Nguni’t,Ngunit, Soplado. Nguni’t bibigyan 
elfili_paragraphs,13,,Nguni’t,Ngunit,—Nguni’t Padre—ang
elfili_paragraphs,13,,nguni’t,ngunit,"g ilagay, nguni’t wala po k"
elfili_paragraphs,13,,nguni’t,ngunit,"g mga pe, nguni’t una muna "
elfili_paragraphs,13,,nguni’t,ngunit," pumasok, nguni’t nangagsih"
elfili_paragraphs,13,,nguni’t,ngunit,"a sarili, nguni’t sa isang "
elfili_paragraphs,14,,nguni’t,ngunit," at silo, nguni’t ang mga l"
elfili_paragraphs,14,,nguni’t,ngunit,o hugalo! nguni’t pag tumam
elfili_paragraphs,14,,nguni’t,ngunit,"ng lisyon nguni’t, ang tuna"
elfili_paragraphs,14,,nguni’t,ngunit,"mapayapa, nguni’t ang katun"
elfili_paragraphs,14,,Nguni’t,Ngunit,Nguni’t ang ingay
elfili_paragraphs,14,,Nguni’t,Ngunit,—¡Nguni’t p....!—an
elfili_paragraphs,14,,nguni’t,ngunit,"kaprayle, nguni’t sa mga ga"
elfili_paragraphs,14,,Nguni’t,Ngunit,g pa rin! Nguni’t turan nin
elfili_paragraphs,14,,Nguni’t,Ngunit,sterismo! Nguni’t hindi na 
elfili_paragraphs,14,,Nguni’t,Ngunit,—¿Nguni’t saan mana
elfili_paragraphs,14,,Nguni’t,Ngunit,—Nguni’t ¿saan man
elfili_paragraphs,14,,nguni’t,ngunit,"agkukuro, nguni’t ibigay na"
elfili_paragraphs,14,,Nguni’t,Ngunit,—¡Nguni’t p....!—an
elfili_paragraphs,14,,nguni’t,ngunit,naiimbak; nguni’t inaakala 
elfili_paragraphs,14,,nguni’t,ngunit,"g mabuti, nguni’t isang pal"
elfili_paragraphs,14,,nguni’t,ngunit,ikatututo nguni’t pinipigil
elfili_paragraphs,14,,nguni’t,ngunit,"Sandoval, nguni’t sa katala"
elfili_paragraphs,14,,nguni’t,ngunit,a España; nguni’t sa dahila
elfili_paragraphs,14,,nguni’t,ngunit,l ng isa—¿nguni’t ano ang i
elfili_paragraphs,14,,Nguni’t,Ngunit,—Nguni’t ang Lupon
elfili_paragraphs,14,,nguni’t,ngunit,"P. Irene, nguni’t sinabi sa"
elfili_paragraphs,14,,nguni’t,ngunit, ng usap; nguni’t si Isagan
elfili_paragraphs,14,,Nguni’t,Ngunit,ng amain. Nguni’t ¿papaano 
elfili_paragraphs,15,,nguni’t,ngunit,"naroroon, nguni’t dumating "
elfili_paragraphs,15,,nguni’t,ngunit,nata!.... nguni’t umupo kay
elfili_paragraphs,15,,Capitang,Kapitang,"a prayle, Capitang General, "
elfili_paragraphs,15,,nguni’t,ngunit,"ang iyon, nguni’t ng maramd"
elfili_paragraphs,15,,Nguni’t,Ngunit,"panukala! Nguni’t ituloy, i"
elfili_paragraphs,15,,Nguni’t,Ngunit,Nguni’t may takda
elfili_paragraphs,15,,Nguni’t,Ngunit,—Nguni’t sa dahila
elfili_paragraphs,15,,nguni’t,ngunit,"na umuwi, nguni’t gayon man"
elfili_paragraphs,15,,nguni’t,ngunit,n ang.... nguni’t mayroon d
elfili_paragraphs,15,,nguni’t,ngunit,bihin.... nguni’t ¿nasaan k
elfili_paragraphs,15,,nguni’t,ngunit," sabihin, nguni’t nakalimut"
elfili_paragraphs,15,,nguni’t,ngunit,"’y gayon, nguni’t hindi sa "
elfili_paragraphs,15,,Nguni’t,Ngunit,—¿Nguni’t ilan na s
elfili_paragraphs,15,,nguni’t,ngunit," panahon, nguni’t tumugon:"
elfili_paragraphs,15,,nguni’t,ngunit,"t mediko, nguni’t hindi ko "
elfili_paragraphs,15,,nguni’t,ngunit,a kanila; nguni’t kung mara
elfili_paragraphs,16,,nguni’t,ngunit, Timoteo—¡nguni’t ang nagug
elfili_paragraphs,16,,nguni’t,ngunit,"a España, nguni’t doo’y nau"
elfili_paragraphs,16,,nguni’t,ngunit,"ang yuko, nguni’t pinutol n"
elfili_paragraphs,16,,nguni’t,ngunit,"gtawanan, nguni’t nagpigil "
elfili_paragraphs,16,,nguni’t,ngunit,maibigan; nguni’t ang babai
elfili_paragraphs,16,,nguni’t,ngunit," Quiroga, nguni’t nabalik n"
elfili_paragraphs,16,,Nguni’t,Ngunit,inyo ako. Nguni’t ang lahat
elfili_paragraphs,16,,nguni’t,ngunit,ng tango; nguni’t kailangan
elfili_paragraphs,16,,nguni’t,ngunit,"o ng iba, nguni’t kailangan"
elfili_paragraphs,16,,nguni’t,ngunit, Quiroga—¿nguni’t huli ba m
elfili_paragraphs,16,,nguni’t,ngunit,g sapatos—nguni’t sa dahila
elfili_paragraphs,16,,Nguni’t,Ngunit,—Nguni’t unawain n
elfili_paragraphs,16,,nguni’t,ngunit,"ng bayan, nguni’t hindi ang"
elfili_paragraphs,16,,Nguni’t,Ngunit,—Nguni’t anak ko—a
elfili_paragraphs,16,,nguni’t,ngunit," marahil, nguni’t ang katun"
elfili_paragraphs,16,,Nguni’t,Ngunit,"—Nguni’t, Padre, s"
elfili_paragraphs,16,,Nguni’t,Ngunit,—Nguni’t makingig 
elfili_paragraphs,16,,Nguni’t,Ngunit,ahi’t na! Nguni’t ang sanhi
elfili_paragraphs,16,,Nguni’t,Ngunit,—Nguni’t anong sal
elfili_paragraphs,16,,nguni’t,ngunit,"inanggap, nguni’t si P. Sal"
elfili_paragraphs,17,,nguni’t,ngunit,"P. Salvi, nguni’t hindi niy"
elfili_paragraphs,17,,Nguni’t,Ngunit,—Nguni’t ¡puñales!
elfili_paragraphs,17,,nguni’t,ngunit,"alinuhan, nguni’t ang pagga"
elfili_paragraphs,17,,nguni’t,ngunit," Quiroga, nguni’t kung pagw"
elfili_paragraphs,18,,nguni’t,ngunit,"paningin, nguni’t sa dahila"
elfili_paragraphs,18,,nguni’t,ngunit,merikano;—nguni’t huwag po 
elfili_paragraphs,18,,nguni’t,ngunit,nak hari; nguni’t gaano ang
elfili_paragraphs,18,,nguni’t,ngunit,"an ninyo, nguni’t ipinamama"
elfili_paragraphs,18,,nguni’t,ngunit, sa daan; nguni’t ang lahat
elfili_paragraphs,18,,nguni’t,ngunit,y malalim nguni’t nagbabala
elfili_paragraphs,18,,nguni’t,ngunit,"lang noo, nguni’t walang na"
elfili_paragraphs,18,,nguni’t,ngunit, palabas; nguni’t wala na s
elfili_paragraphs,19,,nguni’t,ngunit,"agagalit, nguni’t pag namuh"
elfili_paragraphs,19,,nguni’t,ngunit,"ang daan, nguni’t ang mga c"
elfili_paragraphs,19,,Nguni’t,Ngunit,Nguni’t hindi hin
elfili_paragraphs,19,,Nguni’t,Ngunit,Nguni’t nang maki
elfili_paragraphs,19,,nguni’t,ngunit,uropa.... nguni’t dapat tay
elfili_paragraphs,19,,Nguni’t,Ngunit,atapunan. Nguni’t dapat na 
elfili_paragraphs,19,,Nguni’t,Ngunit,angginge. Nguni’t siya’y in
elfili_paragraphs,19,,nguni’t,ngunit,"ngatawan, nguni’t nagawa ng"
elfili_paragraphs,19,,nguni’t,ngunit,"kasawian, nguni’t....."
elfili_paragraphs,19,,nguni’t,ngunit,"langguan, nguni’t namatay d"
elfili_paragraphs,19,,nguni’t,ngunit,"g mabuti, nguni’t ako’y nil"
elfili_paragraphs,20,,nguni’t,ngunit,ng lakas; nguni’t ang Anteo
elfili_paragraphs,20,,Nguni’t,Ngunit,politika. Nguni’t si D. Cus
elfili_paragraphs,20,,nguni’t,ngunit,ahadlang; nguni’t kinakalam
elfili_paragraphs,20,,nguni’t,ngunit,a kanila; nguni’t hindi sil
elfili_paragraphs,20,,nguni’t,ngunit,"gtanggol, nguni’t kailangan"
elfili_paragraphs,20,,nguni’t,ngunit,"a masama, nguni’t kailangan"
elfili_paragraphs,20,,nguni’t,ngunit," maiinam, nguni’t kailangan"
elfili_paragraphs,20,,nguni’t,ngunit,"ng laman, nguni’t ang huli "
elfili_paragraphs,20,,nguni’t,ngunit,g bulalas—nguni’t ito’y nas
elfili_paragraphs,20,,nguni’t,ngunit,"g eureka, nguni’t nagsisimu"
elfili_paragraphs,21,,nguni’t,ngunit,"g tingig, nguni’t lalo pa m"
elfili_paragraphs,21,,nguni’t,ngunit," sa lahi, nguni’t gayon man"
elfili_paragraphs,21,,nguni’t,ngunit,"ing lipi, nguni’t siya’y na"
elfili_paragraphs,21,,nguni’t,ngunit,kamtakam; nguni’t nakikipag
elfili_paragraphs,21,,Nguni’t,Ngunit,—Nguni’t—ang bulon
elfili_paragraphs,21,,Nguni’t,Ngunit,—¡Nguni’t nasa wika
elfili_paragraphs,21,,nguni’t,ngunit,"sa Paris, nguni’t hindi man"
elfili_paragraphs,21,,Nguni’t,Ngunit,Nguni’t marami di
elfili_paragraphs,21,,Nguni’t,Ngunit,angbulsa. Nguni’t gayon man
elfili_paragraphs,21,,Nguni’t,Ngunit,panoorin. Nguni’t sa pasula
elfili_paragraphs,21,,nguni’t,ngunit,ubuti nga nguni’t lalo pang
elfili_paragraphs,21,,Nguni’t,Ngunit,g bahala. Nguni’t makaraan 
elfili_paragraphs,21,,nguni’t,ngunit,ag-uutos; nguni’t pag-iinga
elfili_paragraphs,21,,Nguni’t,Ngunit,na bayan! Nguni’t ¿ano ang 
elfili_paragraphs,21,,nguni’t,ngunit,"paghinga, nguni’t ang koron"
elfili_paragraphs,21,,nguni’t,ngunit,"g mabuti, nguni’t hindi ako"
elfili_paragraphs,21,,Nguni’t,Ngunit,g kualta? Nguni’t sino ba n
elfili_paragraphs,21,,nguni’t,ngunit,"i mediko, nguni’t isang man"
elfili_paragraphs,21,,nguni’t,ngunit, libo.... nguni’t ¿ano ang 
elfili_paragraphs,21,,nguni’t,ngunit,"ag-iisip, nguni’t napakatal"
elfili_paragraphs,21,,nguni’t,ngunit," matalas, nguni’t napakatal"
elfili_paragraphs,21,,Nguni’t,Ngunit,Nguni’t si Tadeo 
elfili_paragraphs,21,,Nguni’t,Ngunit, bata.... Nguni’t tingnan m
elfili_paragraphs,21,,nguni’t,ngunit,"i Pelaez, nguni’t higit dit"
elfili_paragraphs,22,,nguni’t,ngunit," palabas, nguni’t kulang na"
elfili_paragraphs,22,,Nguni’t,Ngunit,"agkamali. Nguni’t hindi, sa"
elfili_paragraphs,22,,nguni’t,ngunit," ng gulo, nguni’t ang nayar"
elfili_paragraphs,22,,nguni’t,ngunit,"Sandoval, nguni’t waring sa"
elfili_paragraphs,22,,nguni’t,ngunit,"ang abot, nguni’t malaki an"
elfili_paragraphs,22,,Nguni’t,Ngunit,Nguni’t walang na
elfili_paragraphs,22,,Nguni’t,Ngunit,g bahagi. Nguni’t ang katuw
elfili_paragraphs,22,,Nguni’t,Ngunit,a binata! Nguni’t hindi nap
elfili_paragraphs,22,,nguni’t,ngunit,renicheux nguni’t ang nakat
elfili_paragraphs,22,,Nguni’t,Ngunit,Nguni’t agad na i
elfili_paragraphs,22,,nguni’t,ngunit,li at.... nguni’t sa dahila
elfili_paragraphs,22,,Nguni’t,Ngunit,Nguni’t ang kagip
elfili_paragraphs,22,,Nguni’t,Ngunit,Nguni’t ang pagda
elfili_paragraphs,22,,nguni’t,ngunit,"tumindig, nguni’t walang an"
elfili_paragraphs,22,,nguni’t,ngunit," guantes, nguni’t dahil sa "
elfili_paragraphs,22,,nguni’t,ngunit,"ang baro, nguni’t walang ba"
elfili_paragraphs,23,,Nguni’t,Ngunit,Nguni’t iniiiling
elfili_paragraphs,23,,nguni’t,ngunit,"a kaniya, nguni’t ang binat"
elfili_paragraphs,23,,nguni’t,ngunit,"pilipino, nguni’t ipinagbab"
elfili_paragraphs,23,,nguni’t,ngunit,"asayahan, nguni’t walang is"
elfili_paragraphs,23,,nguni’t,ngunit,"inauupan, nguni’t nadingig "
elfili_paragraphs,23,,nguni’t,ngunit,"sa mundo, nguni’t gayon man"
elfili_paragraphs,23,,nguni’t,ngunit,"payapaan, nguni’t mga pagba"
elfili_paragraphs,23,,nguni’t,ngunit,ay pakpak nguni’t nangakaga
elfili_paragraphs,24,,Nguni’t,Ngunit,yaman.... Nguni’t sa mga su
elfili_paragraphs,24,,nguni’t,ngunit,ng bayan; nguni’t sa dahila
elfili_paragraphs,24,,nguni’t,ngunit,"ng batid, nguni’t ang pagka"
elfili_paragraphs,24,,nguni’t,ngunit,"kakataon, nguni’t ang pangy"
elfili_paragraphs,24,,nguni’t,ngunit,nangyari; nguni’t naalala n
elfili_paragraphs,24,,nguni’t,ngunit," nangako, nguni’t sa sarili"
elfili_paragraphs,24,,Nguni’t,Ngunit,Nguni’t madali si
elfili_paragraphs,24,,Nguni’t,Ngunit,Nguni’t nadingig 
